category,date,gmv,orders,discount,exposure,buy_uv,is_active,payday
drinks,2025-09-01,120.50,1,8.00,4800,88,0,0
drinks,2025-09-02,156.20,1,15.00,7200,141,1,0
baby,2025-09-02,288.00,1,32.00,3900,42,1,0
beauty,2025-09-03,98.00,1,5.00,2800,31,0,0
drinks,2025-09-04,188.80,1,22.00,8400,165,1,0
baby,2025-09-05,342.30,1,45.00,5600,64,1,0
beauty,2025-09-05,136.40,1,16.00,3600,45,1,0
rice_oil,2025-09-06,220.00,1,28.00,4100,52,1,1
drinks,2025-09-07,174.20,1,18.00,8000,158,1,1
rice_oil,2025-09-07,260.00,1,30.00,4700,61,1,1
